Code,Indicator Name,Long definition,Source
UIS.FEP.56.foreign,"Percentage of all inbound internationally mobile students in tertiary education in the host country who are female, (%)",Female share of students who have crossed a national or territorial border for the purposes of education and are now enrolled outside their country of origin.,UNESCO Institute for Statistics
UIS.TEP.5.B,"Percentage of all students in tertiary education enrolled in ISCED 5, both sexes (%)",Total enrolment in short-cycle tertiary programmes (ISCED 5) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.6,"Percentage of all students in tertiary education enrolled in ISCED 6, both sexes (%)",Total enrolment in bachelors or equivalent programmes (ISCED 6) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.7,"Percentage of all students in tertiary education enrolled in ISCED 7, both sexes (%)",Total enrolment in masters or equivalent programmes (ISCED 7) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.8,"Percentage of all students in tertiary education enrolled in ISCED 8, both sexes (%)",Total enrolment in doctoral or equivalent programmes (ISCED 8) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.PRP.0,Percentage of enrolment in early childhood education programmes in private institutions (%),"Total number of students in early childhood education programmes enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in early childhood education programmes. Within ISCED 0, early childhood educational development programmes are targeted at children aged 0 to 2 years; and pre-primary education programmes are targeted at children aged 3 years until the age to start ISCED 1.",UNESCO Institute for Statistics
UIS.PRP.01,Percentage of enrolment in early childhood educational development programmes in private institutions (%),"Total number of students in early childhood educational development programmes enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in early childhood educational development programmes. Within ISCED 0, early childhood educational development programmes are targeted at children aged 0 to 2 years; and pre-primary education programmes are targeted at children aged 3 years until the age to start ISCED 1.",UNESCO Institute for Statistics
UIS.PRP.2,Percentage of enrolment in lower secondary education in private institutions (%),"Total number of students in lower secondary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in lower secondary education.",UNESCO Institute for Statistics
UIS.PRP.4,Percentage of enrolment in post-secondary non-tertiary education in private institutions (%),"Total number of students in post-secondary non-tertiary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in post-secondary non-tertiary education.",UNESCO Institute for Statistics
SE.PRE.PRIV.ZS,Percentage of enrolment in pre-primary education in private institutions (%),"Total number of students in pre-primary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in pre-primary education. Within ISCED 0, early childhood educational development programmes are targeted at children aged 0 to 2 years; and pre-primary education programmes are targeted at children aged 3 years until the age to start ISCED 1.",UNESCO Institute for Statistics
SE.PRM.PRIV.ZS,Percentage of enrolment in primary education in private institutions (%),"Total number of students in primary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in primary education.",UNESCO Institute for Statistics
SE.SEC.PRIV.ZS,Percentage of enrolment in secondary education in private institutions (%),"Total number of students in secondary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in secondary education.",UNESCO Institute for Statistics
SE.TER.PRIV.ZS,Percentage of enrolment in tertiary education in private institutions (%),"Total number of students in tertiary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in tertiary education.",UNESCO Institute for Statistics
UIS.PRP.3,Percentage of enrolment in upper secondary education in private institutions (%),"Total number of students in upper secondary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in upper secondary education.",UNESCO Institute for Statistics
SE.TER.GRAD.AG.FE.ZS,"Percentage of female graduates from tertiary education graduating from Agriculture programmes, female (%)",Share of all female tertiary graduates who completed agriculture programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.ED.FE.ZS,"Percentage of female graduates from tertiary education graduating from Education programmes, female (%)",Share of all female tertiary graduates who completed education programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.EN.FE.ZS,"Percentage of female graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, female (%)","Share of all female tertiary graduates who completed engineering, manufacturing and construction programmes in the reference year.",UNESCO Institute for Statistics
SE.TER.GRAD.HL.FE.ZS,"Percentage of female graduates from tertiary education graduating from Health and Welfare programmes, female (%)",Share of all female tertiary graduates who completed health and welfare programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.HU.FE.ZS,"Percentage of female graduates from tertiary education graduating from Humanities and Arts programmes, female (%)",Share of all female tertiary graduates who completed humanities and arts programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.OT.FE.ZS,"Percentage of female graduates from tertiary education graduating from programmes in unspecified fields, female (%)",Share of all female tertiary graduates who completed programmes in unspecified fields in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.SC.FE.ZS,"Percentage of female graduates from tertiary education graduating from Science programmes, female (%)",Share of all female tertiary graduates who completed science programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.SV.FE.ZS,"Percentage of female graduates from tertiary education graduating from Services programmes, female (%)",Share of all female tertiary graduates who completed services programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.SS.FE.ZS,"Percentage of female graduates from tertiary education graduating from Social Sciences, Business and Law programmes, female (%)","Share of all female tertiary graduates who completed social sciences, business and law programmes in the reference year.",UNESCO Institute for Statistics
UIS.OAEP.1.F,"Percentage of female students enrolled in primary education who are over-age, female (%)",Total number of female over-age students in primary education institutions as a percentage of total female enrolments in primary education institutions.,UNESCO Institute for Statistics
UIS.UAEP.1.F,"Percentage of female students enrolled in primary education who are under-age, female (%)",Female students who are younger than the official school-age range for primary education as a percentage of the total number of female students enrolled in primary education.,UNESCO Institute for Statistics
UIS.GTVP.2.GPV.F,"Percentage of female students in lower secondary education enrolled in general programmes, female (%)","Total number of female students enrolled in general programmes at the lower secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the lower secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics
UIS.GTVP.2.V.F,"Percentage of female students in lower secondary education enrolled in vocational programmes, female (%)","Total number of female students enrolled in vocational programmes at the lower secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the lower secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics
UIS.GTVP.4.GPV.F,"Percentage of female students in post-secondary non-tertiary education enrolled in general programmes, female (%)","Total number of female students enrolled in general programmes at the post-secondary non-tertiary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the post-secondary non-tertiary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics
UIS.GTVP.4.V.F,"Percentage of female students in post-secondary non-tertiary education enrolled in vocational programmes, female (%)","Total number of female students enrolled in vocational programmes at the post-secondary non-tertiary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the post-secondary non-tertiary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics
UIS.GTVP.23.GPV.F,"Percentage of female students in secondary education enrolled in general programmes, female (%)","Total number of female students enrolled in general programmes at the secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics
SE.SEC.ENRL.FE.VO.ZS,"Percentage of female students in secondary education enrolled in vocational programmes, female (%)","Total number of female students enrolled in vocational programmes at the secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics
UIS.FOSEP.56.F600.F,"Percentage of female students in tertiary education enrolled in Agriculture programmes, female (%)",Percentage of all female tertiary students who are enrolled in agriculture programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F140.F,"Percentage of female students in tertiary education enrolled in Education programmes, female (%)",Percentage of all female tertiary students who are enrolled in education programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F500.F,"Percentage of female students in tertiary education enrolled in Engineering, Manufacturing and Construction programmes, female (%)","Percentage of all female tertiary students who are enrolled in engineering, manufacturing and construction programmes.",UNESCO Institute for Statistics
UIS.FOSEP.56.F700.F,"Percentage of female students in tertiary education enrolled in Health and Welfare programmes, female (%)",Percentage of all female tertiary students who are enrolled in health and welfare programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F200.F,"Percentage of female students in tertiary education enrolled in Humanities and Arts programmes, female (%)",Percentage of all female tertiary students who are enrolled in humanities and arts programmes.,UNESCO Institute for Statistics
UIS.TEP.5.B.F,Percentage of female students in tertiary education enrolled in ISCED 5,Total female enrolment in short-cycle tertiary programmes (ISCED 5) as a percentage of total female enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.6.F,Percentage of female students in tertiary education enrolled in ISCED 6,Total female enrolment in bachelors or equivalent programmes (ISCED 6) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.7.F,Percentage of female students in tertiary education enrolled in ISCED 7,Total female enrolment in masters or equivalent programmes (ISCED 7) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.8.F,Percentage of female students in tertiary education enrolled in ISCED 8,Total female enrolment in doctoral or equivalent programmes (ISCED 8) as a percentage of total female enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.FOSEP.56.Fuk.F,"Percentage of female students in tertiary education enrolled in programmes in unspecified fields, female (%)",Percentage of all female tertiary students who are enrolled in programmes in unspecified fields.,UNESCO Institute for Statistics
UIS.FOSEP.56.F400.F,"Percentage of female students in tertiary education enrolled in Science programmes, female (%)",Percentage of all female tertiary students who are enrolled in science programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F800.F,"Percentage of female students in tertiary education enrolled in Services programmes, female (%)",Percentage of all female tertiary students who are enrolled in services programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F300.F,"Percentage of female students in tertiary education enrolled in Social Sciences, Business and Law programmes, female (%)","Percentage of all female tertiary students who are enrolled in social sciences, business and law programmes.",UNESCO Institute for Statistics
UIS.GTVP.3.GPV.F,"Percentage of female students in upper secondary education enrolled in general programmes, female (%)","Total number of female students enrolled in general programmes at the upper secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the upper secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics
UIS.GTVP.3.V.F,"Percentage of female students in upper secondary education enrolled in vocational programmes, female (%)","Total number of female students enrolled in vocational programmes at the upper secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the upper secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics
UIS.TRTP.2.F,"Percentage of female teachers in lower secondary education who are trained, female (%)","Number of female teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching at the lower secondary level in the given country, expressed as a percentage of the total number of female teachers at the lower secondary level.",UNESCO Institute for Statistics
UIS.TRTP.4.F,"Percentage of female teachers in post-secondary non-tertiary education who are trained, female (%)","Number of female teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching at the post-secondary non-tertiary level in the given country, expressed as a percentage of the total number of female teachers at the post-secondary non-tertiary level.",UNESCO Institute for Statistics
UIS.TRTP.0.F,"Percentage of female teachers in pre-primary education who are trained, female (%)","Number of female teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching at the pre-primary level in the given country, expressed as a percentage of the total number of female teachers at the pre-primary level.",UNESCO Institute for Statistics
SE.PRM.TCAQ.FE.ZS,"Percentage of female teachers in primary education who are trained, female (%)","Number of female teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching at the primary level in the given country, expressed as a percentage of the total number of female teachers at the primary level.",UNESCO Institute for Statistics
SE.SEC.TCAQ.FE.ZS,"Percentage of female teachers in secondary education who are trained, female (%)","Number of female teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching at the secondary level in the given country, expressed as a percentage of the total number of female teachers at the secondary level.",UNESCO Institute for Statistics
UIS.TRTP.3.F,"Percentage of female teachers in upper secondary education who are trained, female (%)","Number of female teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching at the upper secondary level in the given country, expressed as a percentage of the total number of female teachers at the upper secondary level.",UNESCO Institute for Statistics
SE.TER.GRAD.FE.AG.ZS,Percentage of graduates from Agriculture programmes in tertiary education who are female (%),Number of female graduates in agriculture expressed as a percentage of the total number of tertiary graduates in agriculture.,UNESCO Institute for Statistics
SE.TER.GRAD.FE.ED.ZS,Percentage of graduates from Education programmes in tertiary education who are female (%),Number of female graduates in education expressed as a percentage of the total number of tertiary graduates in education.,UNESCO Institute for Statistics
SE.TER.GRAD.FE.EN.ZS,"Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)","Number of female graduates in engineering, manufacturing and construction expressed as a percentage of the total number of tertiary graduates in engineering, manufacturing and construction.",UNESCO Institute for Statistics
SE.TER.GRAD.FE.HL.ZS,Percentage of graduates from Health and Welfare programmes in tertiary education who are female (%),Number of female graduates in health and welfare expressed as a percentage of the total number of tertiary graduates in health and welfare.,UNESCO Institute for Statistics
SE.TER.GRAD.FE.HU.ZS,Percentage of graduates from Humanities and Arts programmes in tertiary education who are female (%),Number of female graduates in humanities and arts expressed as a percentage of the total number of tertiary graduates in humanities and arts.,UNESCO Institute for Statistics
UIS.FGP.56.FNON400500,Percentage of graduates from non-science and non-technology fields in tertiary education who are female (%),Number of female graduates in fields other than science and technology expressed as a percentage of the total number of tertiary graduates in fields other than science and technology.,UNESCO Institute for Statistics
SE.TER.GRAD.FE.OT.ZS,Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%),Number of female graduates in unspecified programmes expressed as a percentage of the total number of graduates in unspecified tertiary programmes.,UNESCO Institute for Statistics
UIS.FGP.56.F400500,Percentage of graduates from Science and Technology programmes in tertiary education who are female (%),Number of female graduates in science and technology programmes expressed as a percentage of the total number of tertiary graduates in science and technology programmes.,UNESCO Institute for Statistics
SE.TER.GRAD.FE.SC.ZS,Percentage of graduates from Science programmes in tertiary education who are female (%),Number of female graduates in science expressed as a percentage of the total number of tertiary graduates in science.,UNESCO Institute for Statistics
SE.TER.GRAD.FE.SV.ZS,Percentage of graduates from Services programmes in tertiary education who are female (%),Number of female graduates from services programmes expressed as a percentage of the total number of tertiary graduates from services programmes.,UNESCO Institute for Statistics
SE.TER.GRAD.FE.SS.ZS,"Percentage of graduates from Social Sciences, Business and Law programmes in tertiary education who are female (%)","Number of female graduates in social sciences, business and law expressed as a percentage of the total number of tertiary graduates in social sciences, business and law.",UNESCO Institute for Statistics
SE.TER.GRAD.AG.ZS,"Percentage of graduates from tertiary education graduating from Agriculture programmes, both sexes (%)",Share of all tertiary graduates who completed agriculture programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.ED.ZS,"Percentage of graduates from tertiary education graduating from Education programmes, both sexes (%)",Share of all tertiary graduates who completed education programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.EN.ZS,"Percentage of graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, both sexes (%)","Share of all tertiary graduates who completed engineering, manufacturing and construction programmes in the reference year.",UNESCO Institute for Statistics
SE.TER.GRAD.HL.ZS,"Percentage of graduates from tertiary education graduating from Health and Welfare programmes, both sexes (%)",Share of all tertiary graduates who completed health and welfare programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.HU.ZS,"Percentage of graduates from tertiary education graduating from Humanities and Arts programmes, both sexes (%)",Share of all tertiary graduates who completed humanities and arts programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.OT.ZS,"Percentage of graduates from tertiary education graduating from programmes in unspecified fields, both sexes (%)",Share of all tertiary graduates who completed programmes in unspecified fields in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.SC.ZS,"Percentage of graduates from tertiary education graduating from Science programmes, both sexes (%)",Share of all tertiary graduates who completed science programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.SV.ZS,"Percentage of graduates from tertiary education graduating from Services programmes, both sexes (%)",Share of all tertiary graduates who completed services programmes in the reference year.,UNESCO Institute for Statistics
SE.TER.GRAD.SS.ZS,"Percentage of graduates from tertiary education graduating from Social Sciences, Business and Law programmes, both sexes (%)","Share of all tertiary graduates who completed social sciences, business and law programmes in the reference year.",UNESCO Institute for Statistics
SE.TER.GRAD.FE.ZS,Percentage of graduates from tertiary education who are female (%),Number of females completing tertiary education programmes (ISCED 5 to 8) expressed as a percentage of the total number of students (male and female) completing tertiary education programmes (ISCED 5 to 8) in the reference year.,UNESCO Institute for Statistics
UIS.FGP.5.B,Percentage of graduates from tertiary ISCED 5 programmes who are female (%),Number of female students completing short-cycle tertiary education programmes (ISCED 5) expressed as a percentage of the total number of students (male and female) completing short-cycle tertiary programmes in a given school year.,UNESCO Institute for Statistics
UIS.FGP.6,Percentage of graduates from tertiary ISCED 6 programmes who are female (%),Number of female students completing bachelors or equivalent tertiary degree programmes (ISCED 6) expressed as a percentage of the total number of students (male and female) completing those programmes in a given school year.,UNESCO Institute for Statistics
UIS.FGP.7,Percentage of graduates from tertiary ISCED 7 programmes who are female (%),Number of female students completing masters or equivalent tertiary degree programmes (ISCED 7) expressed as a percentage of the total number of students (male and female) completing those programmes in a given school year.,UNESCO Institute for Statistics
UIS.FGP.8,Percentage of graduates from tertiary ISCED 8 programmes who are female (%),Number of female students completing doctoral or equivalent tertiary degree programmes (ISCED 8) expressed as a percentage of the total number of students (male and female) completing those programmes in a given school year.,UNESCO Institute for Statistics
UIS.FOSGP.56.F600.M,"Percentage of male graduates from tertiary education graduating from Agriculture programmes, male (%)",Share of all male tertiary graduates who completed agriculture programmes in the reference year.,UNESCO Institute for Statistics
UIS.FOSGP.56.F140.M,"Percentage of male graduates from tertiary education graduating from Education programmes, male (%)",Share of all male tertiary graduates who completed education programmes in the reference year.,UNESCO Institute for Statistics
UIS.FOSGP.56.F500.M,"Percentage of male graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, male (%)","Share of all male tertiary graduates who completed engineering, manufacturing and construction programmes in the reference year.",UNESCO Institute for Statistics
UIS.FOSGP.56.F700.M,"Percentage of male graduates from tertiary education graduating from Health and Welfare programmes, male (%)",Share of all male tertiary graduates who completed health and welfare programmes in the reference year.,UNESCO Institute for Statistics
UIS.FOSGP.56.F200.M,"Percentage of male graduates from tertiary education graduating from Humanities and Arts programmes, male (%)",Share of all male tertiary graduates who completed humanities and arts programmes in the reference year.,UNESCO Institute for Statistics
UIS.FOSGP.56.FUK.M,"Percentage of male graduates from tertiary education graduating from programmes in unspecified fields, male (%)",Share of all male tertiary graduates who completed programmes in unspecified fields in the reference year.,UNESCO Institute for Statistics
UIS.FOSGP.56.F400.M,"Percentage of male graduates from tertiary education graduating from Science programmes, male (%)",Share of all male tertiary graduates who completed science programmes in the reference year.,UNESCO Institute for Statistics
UIS.FOSGP.56.F800.M,"Percentage of male graduates from tertiary education graduating from Services programmes, male (%)",Share of all male tertiary graduates who completed services programmes in the reference year.,UNESCO Institute for Statistics
UIS.FOSGP.56.F300.M,"Percentage of male graduates from tertiary education graduating from Social Sciences, Business and Law programmes, male (%)","Share of all male tertiary graduates who completed social sciences, business and law programmes in the reference year.",UNESCO Institute for Statistics
UIS.OAEP.1.M,"Percentage of male students enrolled in primary education who are over-age, male (%)",Total number of male over-age students in primary education institutions as a percentage of total male enrolments in primary education institutions.,UNESCO Institute for Statistics
UIS.UAEP.1.M,"Percentage of male students enrolled in primary education who are under-age, male (%)",Male students who are younger than the official school-age range for primary education as a percentage of the total number of male students enrolled in primary education.,UNESCO Institute for Statistics
UIS.GTVP.2.GPV.M,"Percentage of male students in lower secondary education enrolled in general programmes, male (%)","Total number of male students enrolled in general programmes at the lower secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the lower secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics
UIS.GTVP.2.V.M,"Percentage of male students in lower secondary education enrolled in vocational programmes, male (%)","Total number of male students enrolled in vocational programmes at the lower secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the lower secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics
UIS.GTVP.4.GPV.M,"Percentage of male students in post-secondary non-tertiary education enrolled in general programmes, male (%)","Total number of male students enrolled in general programmes at the post-secondary non-tertiary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the post-secondary non-tertiary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics
UIS.GTVP.4.V.M,"Percentage of male students in post-secondary non-tertiary education enrolled in vocational programmes, male (%)","Total number of male students enrolled in vocational programmes at the post-secondary non-tertiary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the post-secondary non-tertiary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics
UIS.GTVP.23.GPV.M,"Percentage of male students in secondary education enrolled in general programmes, male (%)","Total number of male students enrolled in general programmes at the secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics
SE.SEC.ENRL.MA.VO.ZS,"Percentage of male students in secondary education enrolled in vocational programmes, male (%)","Total number of male students enrolled in vocational programmes at the secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics
UIS.FOSEP.56.F600.M,"Percentage of male students in tertiary education enrolled in Agriculture programmes, male (%)",Percentage of all male tertiary students who are enrolled in agriculture programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F140.M,"Percentage of male students in tertiary education enrolled in Education programmes, male (%)",Percentage of all male tertiary students who are enrolled in education programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F500.M,"Percentage of male students in tertiary education enrolled in Engineering, Manufacturing and Construction programmes, male (%)","Percentage of all male tertiary students who are enrolled in engineering, manufacturing and construction programmes.",UNESCO Institute for Statistics
UIS.FOSEP.56.F700.M,"Percentage of male students in tertiary education enrolled in Health and Welfare programmes, male (%)",Percentage of all male tertiary students who are enrolled in health and welfare programmes.,UNESCO Institute for Statistics
UIS.FOSEP.56.F200.M,"Percentage of male students in tertiary education enrolled in Humanities and Arts programmes, male (%)",Percentage of all male tertiary students who are enrolled in humanities and arts programmes.,UNESCO Institute for Statistics
UIS.TEP.5.B.M,Percentage of male students in tertiary education enrolled in ISCED 5,Total male enrolment in short-cycle tertiary programmes (ISCED 5) as a percentage of total male enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.6.M,Percentage of male students in tertiary education enrolled in ISCED 6,Total male enrolment in bachelors or equivalent programmes (ISCED 6) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
UIS.TEP.7.M,Percentage of male students in tertiary education enrolled in ISCED 7,Total male enrolment in masters or equivalent programmes (ISCED 7) as a percentage of total enrolments in tertiary education (ISCED 5 to 8).,UNESCO Institute for Statistics
